名称	类型	牌等级	
阿莱克丝塔萨	随从	传说卡牌	
阿曼尼狂战士	随从	普通卡牌	
艾露恩的女祭司	随从	普通卡牌	
暗鳞先知	随从	基础卡牌	
暗鳞治愈者	随从	基础卡牌	
奥秘守护者	随从	稀有卡牌	
奥妮克希亚	随从	传说卡牌	
奥术傀儡	随从	稀有卡牌	
白银之手骑士	随从	普通卡牌	
报警机器人	随从	稀有卡牌	
暴风城骑士	随从	基础卡牌	
暴风城勇士	随从	基础卡牌	
暴怒的狼人	随从	普通卡牌	
比斯巨兽	随从	传说卡牌	
碧蓝幼龙	随从	稀有卡牌	
冰风雪人	随从	基础卡牌	
冰霜元素	随从	普通卡牌	2
藏宝海湾保镖	随从	基础卡牌	
持盾卫士	随从	普通卡牌	
船长的鹦鹉	随从	史诗卡牌	
丛林猎豹	随从	普通卡牌	
达拉然法师	随从	基础卡牌	
大地之环先知	随从	普通卡牌	
大法师	随从	基础卡牌	
淡水鳄	随从	基础卡牌	
帝王眼镜蛇	随从	稀有卡牌	
恶毒铁匠	随从	普通卡牌	
法力怨魂	随从	稀有卡牌	
飞刀杂耍者	随从	稀有卡牌	
愤怒的小鸡	随从	稀有卡牌	
风怒鹰身人	随从	普通卡牌	
风险投资公司雇佣兵	随从	普通卡牌	
疯狂的炼金师	随从	稀有卡牌	
疯狂投弹者	随从	普通卡牌	
腐肉食尸鬼	随从	普通卡牌	
格尔宾·梅卡托克	随从	传说卡牌	
格鲁尔	随从	传说卡牌	
工程师学徒	随从	基础卡牌	
工匠大师欧沃斯巴克	随从	传说卡牌	
攻城车	随从	稀有卡牌	
狗头人地卜师	随从	基础卡牌	
古拉巴什狂暴者	随从	基础卡牌	
哈里森·琼斯	随从	传说卡牌	
海巨人	随从	史诗卡牌	
寒光先知	随从	稀有卡牌	
寒光智者	随从	稀有卡牌	
黑骑士	随从	传说卡牌	
黑铁矮人	随从	普通卡牌	
火车王里诺艾	随从	传说卡牌	
霍格	随从	传说卡牌	
机械幼龙技工	随从	基础卡牌	
加基森拍卖师	随从	稀有卡牌	
迦顿男爵	随从	传说卡牌	
叫嚣的中士	随从	普通卡牌	
荆棘谷猛虎	随从	普通卡牌	
精灵弓箭手	随从	基础卡牌	
精灵龙	随从	普通卡牌	
精神控制技师	随从	稀有卡牌	
竞技场主宰	随从	基础卡牌	
凯恩·血蹄	随从	传说卡牌	
恐怖海盗	随从	普通卡牌	
恐狼前锋	随从	普通卡牌	
苦痛侍僧	随从	普通卡牌	
狂奔科多兽	随从	稀有卡牌	
狂野炎术师	随从	稀有卡牌	
拉文霍德刺客	随从	稀有卡牌	
蓝腮战士	随从	基础卡牌	
狼骑兵	随从	基础卡牌	
狼人渗透者	随从	普通卡牌	
老瞎眼	随从	传说卡牌	
雷矛特种兵	随从	基础卡牌	
烈日行者	随从	稀有卡牌	
鲁莽火箭兵	随从	基础卡牌	
绿皮队长	随从	传说卡牌	
绿洲钳嘴龟	随从	基础卡牌	
麻疯侏儒	随从	普通卡牌	
玛里苟斯	随从	传说卡牌	
麦田傀儡	随从	普通卡牌	
米尔豪斯·法力风暴	随从	传说卡牌	
魔古山守望者	随从	普通卡牌	
魔瘾者	随从	稀有卡牌	
末日预言者	随从	史诗卡牌	
暮光幼龙	随从	稀有卡牌	
穆克拉	随从	传说卡牌	
纳特·帕格	随从	传说卡牌	
南海船长	随从	史诗卡牌	
南海船工	随从	普通卡牌	
年迈的法师	随从	稀有卡牌	
年迈的酒仙	随从	普通卡牌	
年轻的酒仙	随从	普通卡牌	
年轻的女祭司	随从	稀有卡牌	
牛头人战士	随从	普通卡牌	
诺兹多姆	随从	传说卡牌	
破法者	随从	普通卡牌	
破碎残阳祭司	随从	基础卡牌	
任务达人	随从	稀有卡牌	
日怒守护者	随从	稀有卡牌	
熔核巨人	随从	史诗卡牌	
熔火恶犬	随从	基础卡牌	
萨尔玛先知	随从	普通卡牌	
森金持盾卫士	随从	基础卡牌	
山岭巨人	随从	史诗卡牌	
闪金镇步兵	随从	基础卡牌	
上古看守者	随从	稀有卡牌	
圣光护卫者	随从	稀有卡牌	
石拳食人魔	随从	基础卡牌	
石牙野猪	随从	基础卡牌	
食人魔法师	随从	基础卡牌	
霜狼步兵	随从	基础卡牌	
霜狼督军	随从	基础卡牌	
死亡之翼	随从	传说卡牌	
酸性沼泽软泥怪	随从	基础卡牌	
剃刀猎手	随从	基础卡牌	
铁喙猫头鹰	随从	普通卡牌	
铁炉堡火枪手	随从	基础卡牌	
铁鬃灰熊	随从	基础卡牌	
团队领袖	随从	基础卡牌	
王牌猎人	随从	史诗卡牌	
巫医	随从	基础卡牌	
无面操纵者	随从	史诗卡牌	
无畏剑圣	随从	稀有卡牌	
希尔瓦娜斯·风行者	随从	传说卡牌	
小个子召唤师	随从	稀有卡牌	
小鬼召唤师	随从	稀有卡牌	
小精灵	随从	普通卡牌	
血法师萨尔诺斯	随从	传说卡牌	
血帆海盗	随从	稀有卡牌	
血帆袭击者	随从	普通卡牌	
血骑士	随从	史诗卡牌	
血色十字军战士	随从	普通卡牌	
血沼迅猛龙	随从	基础卡牌	
岩浆暴怒者	随从	基础卡牌	
炎魔之王拉格纳罗斯	随从	传说卡牌	
夜刃刺客	随从	基础卡牌	
伊利丹·怒风	随从	传说卡牌	
伊瑟拉	随从	传说卡牌	
银背雌猩猩	随从	基础卡牌	
银色侍从	随从	普通卡牌	
银色指挥官	随从	稀有卡牌	
银月城卫兵	随从	普通卡牌	
游学者周卓	随从	传说卡牌	
幼龙鹰	随从	普通卡牌	
鱼人猎潮者	随从	基础卡牌	
鱼人领军	随从	史诗卡牌	
鱼人杀手蟹	随从	史诗卡牌	
鱼人袭击者	随从	基础卡牌	
精英牛头人酋长	随从	传说卡牌	
鱼人招潮者	随从	稀有卡牌	
憎恶	随从	稀有卡牌	
战利品贮藏者	随从	普通卡牌	
沼泽爬行者	随从	普通卡牌	
侏儒发明家	随从	基础卡牌	
铸剑师	随从	稀有卡牌	
紫罗兰导师	随从	稀有卡牌	
诅咒教派领袖	随从	普通卡牌	
作战傀儡	随从	基础卡牌	
